2014-03-02	3
2014-03-09	4
2014-03-16	40
2014-03-23	128
2014-03-30	82
2014-04-06	100
2014-04-13	99
2014-04-20	39
2014-04-27	43
2014-05-04	39
2014-05-11	73
2014-05-18	52
2014-05-25	36
2014-06-01	43
2014-06-08	83
2014-06-15	92
2014-06-22	78
2014-06-29	63
2014-07-06	62
2014-07-13	65
2014-07-20	61
2014-07-27	68
2014-08-03	76
2014-08-10	46
2014-08-17	68
2014-08-24	80
2014-08-31	56
2014-09-07	167
2014-09-14	141
2014-09-21	146
2014-09-28	244
2014-10-05	174
2014-10-12	137
2014-10-19	157
2014-10-26	205
2014-11-02	225
2014-11-09	326
2014-11-16	492
2014-11-23	241

